"operation_id","status_id","meter_id","meter_code","meter_cuscode","office_id","rate_type","meter_station","station_id","station_name","billing_val_ft","billing_require_all","billing_require_peak","billing_require_off_peak","billing_require_holiday","billing_unit_all","billing_unit_peak","billing_unit_off_peak","billing_unit_holiday","billing_require_home","billing_unit_use","billing_power_max","billing_power","billing_service","billing_rate_ft","billing_power_factor","billing_adjust","billing_netcost","billing_vat","billing_cost_all","billing_factormultiple","billing_shutdown","billing_decreasedemand","billing_demandremain","billing_filepath","billing_comment","billing_rate_office","billing_correct","billing_rate_type","id","operation_id","status_id","office_bacode","office_id","office_mcode","office_zone","sub_id","sub_mcode","office_wwcode","plant_id","menu_id","calendar_id","yyyymm","thyyyymm","fiscalyyyy","fiscalmm","calendar_lastdate","yyyymmdd","menu_name","main_office","main_soffice","main_shoffice","sub_office","sub_soffice","sub_shoffice","plant_name","calendar_thai_month","calendar_thai_year","status_zone","status_center"
"41630","13490884","1065","C09101","9023 020006412410","196","3.2.2","สถานีผลิตน้ำห้วยขอนแก่น ( แรงสูง )","3","แรงสูง","0.1623","0","192.8","186","192.4","0","33776","24256","32792","0","92004","25628.9","289851.29","312.24","14740.74","0","-57.16","330476.01","23133.32","353609.33","0","100","0.43","0","../WebScript/Upload/Electric/13490884_380105_03082026141332.jpg","","0","0","0","45720","41630","13490884","1054","195","2191033000","10","195","2191033000","5512033","0","75","363","202607","256907","2569","10","31","20260731","พลังงานไฟฟ้าตามใบแจ้งหนี้","การประปาส่วนภูมิภาคสาขาหล่มสัก","กปภ.สาขาหล่มสัก","หล่มสัก","การประปาส่วนภูมิภาคสาขาหล่มสัก","กปภ.สาขาหล่มสัก","หล่มสัก",,"กรกฎาคม","2569","1","1"
"41742","13490996","139","23070174","9810 020014006101","632","3.2.2","โรงกรองน้ำ พิมาย","2","โรงกรอง","0.1623","0","51.78","53.92","53.38","13271.94","3717.94","5675.85","3878.15","1642","13271.94","6883.12","40431.21","312.24","2154.04","0","0","49780.61","3484.64","53265.25","0","0","0","0","../WebScript/Upload/Electric/13490996_379527_03082026144208.jpg","","0","0","0","49556","41742","13490996","1174","631","2490237000","2","631","2490237000","5541035","0","75","363","202607","256907","2569","10","31","20260731","พลังงานไฟฟ้าตามใบแจ้งหนี้","การประปาส่วนภูมิภาคสาขาพิมาย","กปภ.สาขาพิมาย","พิมาย","การประปาส่วนภูมิภาคสาขาพิมาย","กปภ.สาขาพิมาย","พิมาย",,"กรกฎาคม","2569","1","1"
"41581","13490835","2274","A11101","9805 020020207736","5","3.2.2","สถานีเพิ่มแรงดันสันทราย","8","สถานีปรับแรงดัน","0.1623","0","138.88","138.31","138.96","39702.48","14753.28","11864.64","13084.56","0","39702.48","18461.32","126686.48","312.24","6443.71","0","-1044.83","150858.92","10560.12","161419.04","0","2526","7.86","0","../WebScript/Upload/Electric/13490835_381919_31072026112223.jpg","ไฟดับ 2,526 นาที ลด 7.86 กิโลวัตต์","0","0","0","43962","41581","13490835","1004","4","2190911000","9","4","2190911000","5511011","0","75","363","202607","256907","2569","10","31","20260731","พลังงานไฟฟ้าตามใบแจ้งหนี้","การประปาส่วนภูมิภาคสาขาเชียงใหม่(ชั้นพิเศษ)","กปภ.สาขาเชียงใหม่(ชั้นพิเศษ)","เชียงใหม่","การประปาส่วนภูมิภาคสาขาเชียงใหม่(ชั้นพิเศษ)","กปภ.สาขาเชียงใหม่(ชั้นพิเศษ)","เชียงใหม่",,"กรกฎาคม","2569","1","1"
"41811","13491062","425","L08101","9824020007988785","859","3.2.2","สถานีผลิตน้ำบ้านศาลาอูมา (แม่ข่าย)","10","แรงต่ำ-แรงสูง","0.1623","0","72.13","99.33","93.42","34683","13421.48","9850.3","11411.22","513","34683","9588.24","111512.75","312.24","5629.05","448.56","0","127490.84","8924.36","136415.2","0","0","0","0","../WebScript/Upload/Electric/13491062_381491_07082026135344.jpg","22= 34683.00*0.95","32948.85","0","0","51618","41811","13491062","1243","858","2590528000","5","858","2590528000","5552029","0","75","363","202607","256907","2569","10","31","20260731","พลังงานไฟฟ้าตามใบแจ้งหนี้","การประปาส่วนภูมิภาคสาขาสุไหงโก-ลก","กปภ.สาขาสุไหงโก-ลก","สุไหงโก-ลก","การประปาส่วนภูมิภาคสาขาสุไหงโก-ลก","กปภ.สาขาสุไหงโก-ลก","สุไหงโก-ลก",,"กรกฎาคม","2569","1","1"
"41581","13490835","2061","A11101","9804 020019196582","5","3.2.2","สถานีผลิตน้ำแม่แฝก ต.แม่แฝก อ.สันทราย จ.เชียงใหม่ ","2","โรงกรอง","0.1623","0","290.21","347.06","299.19","125659","45476.59","36022.25","44160.16","341","125659","38577.62","399040.45","312.24","20394.46","0","-681.93","457642.84","32035","489677.84","0","789","5.13","0","../WebScript/Upload/Electric/13490835_381914_07082026104151.jpg","กว. P291.00, OP348.00, H300.00
หักมิเตอร์ย่อย 341.00 หน่วย
ไฟดับ 789 นาที ลด 5.13 กิโลวัตต์","0","0","0","43962","41581","13490835","1004","4","2190911000","9","4","2190911000","5511011","0","75","363","202607","256907","2569","10","31","20260731","พลังงานไฟฟ้าตามใบแจ้งหนี้","การประปาส่วนภูมิภาคสาขาเชียงใหม่(ชั้นพิเศษ)","กปภ.สาขาเชียงใหม่(ชั้นพิเศษ)","เชียงใหม่","การประปาส่วนภูมิภาคสาขาเชียงใหม่(ชั้นพิเศษ)","กปภ.สาขาเชียงใหม่(ชั้นพิเศษ)","เชียงใหม่",,"กรกฎาคม","2569","1","1"
"41605","13490859","622","A08101","9802020005769926","79","3.2.2","โรงสูบแรงสูงแม่สาย","3","แรงสูง","0.1623","0","123.57","98.77","132.62","41151","13623.87","14296.79","13230.34","677","41151","16426.16","128673.3","312.24","6678.81","953.19","0","153043.7","10713.06","163756.76","0","0","0","0","../WebScript/Upload/Electric/13490859_380415_05082026160703.jpg","","0","0","0","44709","41605","13490859","1028","78","2190935000","9","78","2190935000","5511036","0","75","363","202607","256907","2569","10","31","20260731","พลังงานไฟฟ้าตามใบแจ้งหนี้","การประปาส่วนภูมิภาคสาขาแม่สาย","กปภ.สาขาแม่สาย","แม่สาย","การประปาส่วนภูมิภาคสาขาแม่สาย","กปภ.สาขาแม่สาย","แม่สาย",,"กรกฎาคม","2569","1","0"
"41581","13490835","447","A01101","9801 020004856258","5","4.2.2","สถานีผลิตน้ำป่าตัน 330 ถ.เชียงใหม่-ลำปาง ต.ป่าตัน อ.เมือง จ.เชียงใหม่ 50300","2","โรงกรอง","0.1623","0","804.39","723.18","777.32","367293.01","154032.96","99079.2","114180.85","12607","367293.01","106927.56","1199723.67","312.24","59611.66","0","0","1366575.13","95660.26","1462235.39","0","0","0","0","../WebScript/Upload/Electric/13490835_381903_31072026105928.jpg","กว. P832.00, OP748.00, H804.00
หักมิเตอร์ย่อย 12,607.00 หน่วย","0","0","0","43962","41581","13490835","1004","4","2190911000","9","4","2190911000","5511011","0","75","363","202607","256907","2569","10","31","20260731","พลังงานไฟฟ้าตามใบแจ้งหนี้","การประปาส่วนภูมิภาคสาขาเชียงใหม่(ชั้นพิเศษ)","กปภ.สาขาเชียงใหม่(ชั้นพิเศษ)","เชียงใหม่","การประปาส่วนภูมิภาคสาขาเชียงใหม่(ชั้นพิเศษ)","กปภ.สาขาเชียงใหม่(ชั้นพิเศษ)","เชียงใหม่",,"กรกฎาคม","2569","1","1"
"41710","13490964","1788","27704073","9807 020013132347","513","3.1.2","แรงสูงละหานทราย","11","สำนักงาน-แรงสูง-บ้านพัก","0.1623","0","49.38","46.02","39.8","20175.88","8941.36","5397.77","5836.75","428","20175.88","9691.32","63495.51","312.24","3274.55","0","0","76773.62","5374.15","82147.77","0","0","0","0","../WebScript/Upload/Electric/13490964_385203_17082026111503.jpg","","4035.18","0","0","48497","41710","13490964","1140","513","2390826000","8","513","2390826000","5532023","0","75","363","202607","256907","2569","10","31","20260731","พลังงานไฟฟ้าตามใบแจ้งหนี้","การประปาส่วนภูมิภาคสาขาละหานทราย","กปภ.สาขาละหานทราย","ละหานทราย","การประปาส่วนภูมิภาคสาขาละหานทราย","กปภ.สาขาละหานทราย","ละหานทราย",,"กรกฎาคม","2569","1","0"
"41605","13490859","1562","A08101","9802020005763480","79","3.2.2","โรงสูบแรงสูงเกาะช้าง","3","แรงสูง","0.1623","0","85.72","86.51","86.91","29326","10285.93","9226.38","9813.69","234","29326","11394.76","92609.93","312.24","4759.61","0","0","109076.54","7635.36","116711.9","0","0","0","0","../WebScript/Upload/Electric/13490859_380423_05082026162206.jpg","","0","0","0","44709","41605","13490859","1028","78","2190935000","9","78","2190935000","5511036","0","75","363","202607","256907","2569","10","31","20260731","พลังงานไฟฟ้าตามใบแจ้งหนี้","การประปาส่วนภูมิภาคสาขาแม่สาย","กปภ.สาขาแม่สาย","แม่สาย","การประปาส่วนภูมิภาคสาขาแม่สาย","กปภ.สาขาแม่สาย","แม่สาย",,"กรกฎาคม","2569","1","0"
"41581","13490835","449","A15101","9822 020004502237","5","4.2.2","สถานีผลิตน้ำอุโมงค์ ถ.คันคลองชลประทาน ต.สุเทพ อ.เมือง จ.เชียงใหม่","2","โรงกรอง","0.1623","0","613.06","554.67","563.43","249252.93","96016.97","74589.04","78646.92","6887.08","249252.93","81494.07","800705.84","312.24","40453.75","0","0","922965.9","64607.61","987573.51","0","0","0","0","../WebScript/Upload/Electric/13490835_381904_31072026110945.jpg","กว. P630.00, OP570.00, H579.00
หักมิเตอร์ย่อย 6,887.08 หน่วย","0","0","0","43962","41581","13490835","1004","4","2190911000","9","4","2190911000","5511011","0","75","363","202607","256907","2569","10","31","20260731","พลังงานไฟฟ้าตามใบแจ้งหนี้","การประปาส่วนภูมิภาคสาขาเชียงใหม่(ชั้นพิเศษ)","กปภ.สาขาเชียงใหม่(ชั้นพิเศษ)","เชียงใหม่","การประปาส่วนภูมิภาคสาขาเชียงใหม่(ชั้นพิเศษ)","กปภ.สาขาเชียงใหม่(ชั้นพิเศษ)","เชียงใหม่",,"กรกฎาคม","2569","1","1"
"41601","13490855","5142","A04101","020005858047","68","2.1.1","สำนักงานการประปาส่วนภูมิภาคสาขาเชียงราย(ประเภท 2.1.1)","1","สำนักงาน","0.1623","0","22.19","16.3","14.52","4093","2408.72","896.19","788.09","602","4093","15997.9","0","312.24","664.29","0","0","16974.43","1188.21","18162.64","0","0","0","0","../WebScript/Upload/Electric/13490855_382236_04082026120335.jpg","1.หักมิเตอร์ย่อยบ้านพัก 602.00 หน่วย
2.หน่วยไฟฟ้าตู้น้ำดื่ม RO  ประจำเดือนกรกฎาคม 69  จำนวน 57.4  หน่วย เดือน มิถุนายน 69  54.9 หน่วย ดังนั้นยอดใช้ไฟเดือน มิถุนายน 69 คือ  2.5   หน่วย
","0","0","0","44603","41601","13490855","1024","68","2190931000","9","68","2190931000","5511032","0","75","363","202607","256907","2569","10","31","20260731","พลังงานไฟฟ้าตามใบแจ้งหนี้","การประปาส่วนภูมิภาคสาขาเชียงราย","กปภ.สาขาเชียงราย","เชียงราย","การประปาส่วนภูมิภาคสาขาเชียงราย","กปภ.สาขาเชียงราย","เชียงราย",,"กรกฎาคม","2569","0","0"
"41669","13490923","1855","D05102","9013020014456671","372","3.1.2","หน่วยบริการกุสุมาลย์","11","สำนักงาน-แรงสูง-บ้านพัก","0.1623","0","21.8","0","0","8568.76","8568.76","0","0","89","8568.76","4278.47","26966.74","312.24","1390.71","0","0","32948.16","2306.37","35254.53","0","0","0","0","../WebScript/Upload/Electric/13490923_381414_04082026142523.jpg","","89","0","0","47200","41669","13490923","1092","369","2290724000","7","369","2290724000","5522024","0","75","363","202607","256907","2569","10","31","20260731","พลังงานไฟฟ้าตามใบแจ้งหนี้","การประปาส่วนภูมิภาคสาขาสกลนคร","กปภ.สาขาสกลนคร","สกลนคร","การประปาส่วนภูมิภาคสาขาสกลนคร","กปภ.สาขาสกลนคร","สกลนคร",,"กรกฎาคม","2569","1","1"
"41637","13490891","1267","D03201","9808020015046575","220","3.2.2","แม่ข่ายน้ำพอง(สำนักงาน)","11","สำนักงาน-แรงสูง-บ้านพัก","0.1623","0","164.7","181.49","168.7","83103.01","26952.11","26600.32","29550.58","49","83103.01","21893.57","258965","312.24","13487.62","0","0","294658.43","20626.09","315284.52","0","0","0","0","../WebScript/Upload/Electric/13490891_385266_19082026003027.jpg","","0","0","0","45939","41637","13490891","1063","219","2290614000","6","219","2290614000","5521014","0","75","363","202607","256907","2569","10","31","20260731","พลังงานไฟฟ้าตามใบแจ้งหนี้","การประปาส่วนภูมิภาคสาขาน้ำพอง","กปภ.สาขาน้ำพอง","น้ำพอง","การประปาส่วนภูมิภาคสาขาน้ำพอง","กปภ.สาขาน้ำพอง","น้ำพอง",,"กรกฎาคม","2569","1","1"
"41601","13490855","728","A04101","020005253488","68","2.1.2","ถังนำใสดอยงำเมือง","7","สถานีจ่ายน้ำ","0.1623","0","0","0","0","145","0","0","0","150","145","471.02","0","33.29","23.53","0","0","527.84","36.95","564.79","0","0","0","0","../WebScript/Upload/Electric/13490855_382227_04082026133313.jpg","หักมิเตอร์ย่อยบ้านพัก 150 หน่วย","0","0","0","44603","41601","13490855","1024","68","2190931000","9","68","2190931000","5511032","0","75","363","202607","256907","2569","10","31","20260731","พลังงานไฟฟ้าตามใบแจ้งหนี้","การประปาส่วนภูมิภาคสาขาเชียงราย","กปภ.สาขาเชียงราย","เชียงราย","การประปาส่วนภูมิภาคสาขาเชียงราย","กปภ.สาขาเชียงราย","เชียงราย",,"กรกฎาคม","2569","0","0"
"41741","13490995","434","27660146","9806 020013185171","630","3.2.2","โรงกรองน้ำสำนักงานประปา","2","โรงกรอง","0.1623","0","122.87","121.44","127.16","38286","12983.45","13397.78","11904.77","4590","38286","16333.11","120201.71","312.24","6213.82","560.7","0","143621.58","10053.51","153675.09","0","0","0","0","../WebScript/Upload/Electric/13490995_384803_11082026152426.jpg","","0","0","0","49533","41741","13490995","1173","629","2490236000","2","629","2490236000","5541034","0","75","363","202607","256907","2569","10","31","20260731","พลังงานไฟฟ้าตามใบแจ้งหนี้","การประปาส่วนภูมิภาคสาขาโชคชัย","กปภ.สาขาโชคชัย","โชคชัย","การประปาส่วนภูมิภาคสาขาโชคชัย","กปภ.สาขาโชคชัย","โชคชัย",,"กรกฎาคม","2569","1","1"
"41741","13490995","1726","27660141","9806 020017613498","630","3.2.2","หน้าทางเข้า โรงกรองน้ำพลับพลา","2","โรงกรอง","0.1623","0","351.15","351.15","351.15","126248","36743.52","48650.85","40853.63","304","126248","46678.37","386774.02","312.24","20490.05","1065.33","0","455320.01","31872.4","487192.41","0","0","0","0","../WebScript/Upload/Electric/13490995_384805_11082026151951.jpg","","0","0","0","49533","41741","13490995","1173","629","2490236000","2","629","2490236000","5541034","0","75","363","202607","256907","2569","10","31","20260731","พลังงานไฟฟ้าตามใบแจ้งหนี้","การประปาส่วนภูมิภาคสาขาโชคชัย","กปภ.สาขาโชคชัย","โชคชัย","การประปาส่วนภูมิภาคสาขาโชคชัย","กปภ.สาขาโชคชัย","โชคชัย",,"กรกฎาคม","2569","1","1"
"41605","13490859","652","A08401","9801020004803034","82","2.1.1","แรงสูงห้วยไคร้","3","แรงสูง","0.1623","0","15.34","15.45","15.23","3795.1","1525.43","1040.92","1228.75","242","3795.1","14833.53","0","312.24","615.94","0","0","15761.71","1103.32","16865.03","0","0","0","0","../WebScript/Upload/Electric/13490859_380434_05082026162109.jpg","","0","0","0","44709","41605","13490859","1028","78","2190935000","9","78","2190935000","5511036","0","75","363","202607","256907","2569","10","31","20260731","พลังงานไฟฟ้าตามใบแจ้งหนี้","การประปาส่วนภูมิภาคสาขาแม่สาย","กปภ.สาขาแม่สาย","แม่สาย","การประปาส่วนภูมิภาคสาขาแม่สาย","กปภ.สาขาแม่สาย","แม่สาย",,"กรกฎาคม","2569","1","0"
"41721","13490975","117","23075772","GBMO9805 020000815658","566","2.1.1","โรงกรองน้ำ บ้านหมอ","2","โรงกรอง","0.1623","0","2.08","19.92","19.21","561.5","135.29","258.75","167.46","32","561.5","2194.68","0","312.24","91.13","0","0","2598.05","181.86","2779.91","0","0","0","0","../WebScript/Upload/Electric/13490975_380617_03082026131043.jpg","","0","0","0","48934","41721","13490975","1151","565","2490214000","2","565","2490214000","5541014","0","75","363","202607","256907","2569","10","31","20260731","พลังงานไฟฟ้าตามใบแจ้งหนี้","การประปาส่วนภูมิภาคสาขาบ้านหมอ","กปภ.สาขาบ้านหมอ","บ้านหมอ","การประปาส่วนภูมิภาคสาขาบ้านหมอ","กปภ.สาขาบ้านหมอ","บ้านหมอ",,"กรกฎาคม","2569","1","1"
"41583","13490837","205","A01301","9802020004905091","10","3.2.2","โรงสูบน้ำแรงสูง กปภ.สาขาสันกำแพง","3","แรงสูง","0.1623","0","28.24","16.8","8.58","4197","2624.02","872.29","700.69","499","4197","3753.94","15074.21","312.24","681.17","0","0","19821.56","1387.51","21209.07","0","0","0","0","../WebScript/Upload/Electric/13490837_382070_03082026085120.jpg","","0","0","0","44021","41583","13490837","1006","10","2190913000","9","10","2190913000","5511013","0","75","363","202607","256907","2569","10","31","20260731","พลังงานไฟฟ้าตามใบแจ้งหนี้","การประปาส่วนภูมิภาคสาขาสันกำแพง","กปภ.สาขาสันกำแพง","สันกำแพง","การประปาส่วนภูมิภาคสาขาสันกำแพง","กปภ.สาขาสันกำแพง","สันกำแพง",,"กรกฎาคม","2569","1","1"
"41759","13491011","421","I07202","9011020003336956","685","3.2.2","สถานีจ่ายน้ำทุ่งคอก","11","สำนักงาน-แรงสูง-บ้านพัก","0.1623","0","89.85","90.56","90.56","5712","2246.29","1390.56","2075.15","696","5712","11943.76","18421.92","312.24","927.06","0","0","31604.98","2212.35","33817.33","0","0","0","0","../WebScript/Upload/Electric/13491011_381503_11082026145038.jpg","","696","0","0","50022","41759","13491011","1192","683","2490324000","3","683","2490324000","5542023","0","75","363","202607","256907","2569","10","31","20260731","พลังงานไฟฟ้าตามใบแจ้งหนี้","การประปาส่วนภูมิภาคสาขาอู่ทอง","กปภ.สาขาอู่ทอง","อู่ทอง","การประปาส่วนภูมิภาคสาขาอู่ทอง","กปภ.สาขาอู่ทอง","อู่ทอง",,"กรกฎาคม","2569","1","1"
